epoch,loss,lr,val_loss
0,0.0245118465267,0.0001,0.0214322117061
1,0.0232614087375,0.0001,0.0214920361823
2,0.0232274122957,0.0001,0.0214488990312
3,0.0228455850126,0.0001,0.0191134517615
4,0.0182496436121,0.0001,0.0109106831499
5,0.0104295167339,0.0001,0.00364564135438
6,0.00500186260158,0.0001,0.00117516098736
7,0.00311374330373,0.0001,0.000571712196748
8,0.00245244453734,0.0001,0.000655463212342
9,0.00234331876054,0.0001,0.000460685859879
10,0.00219806622857,0.0001,0.000455984612332
11,0.00211706664094,0.0001,0.000280407948793
12,0.00208005876987,0.0001,0.000336174782561
13,0.00199938173874,0.0001,0.000346857225444
14,0.00212178050057,0.0001,0.000268690147119
15,0.00199537430161,0.0001,0.00035731984772
16,0.00200510170152,0.0001,0.000267662604472
17,0.0021106013519,0.0001,0.000395148567423
18,0.00205779316421,0.0001,0.000265638827115
19,0.00204909929257,0.0001,0.000235128980985
20,0.00198443904494,0.0001,0.000376492867425
21,0.00200283624889,0.0001,0.000284149818984
22,0.00197893130635,0.0001,0.000239411358122
23,0.00206214012171,0.0001,0.000214756755824
24,0.00197601255469,0.0001,0.000308995126595
25,0.00198705510497,0.0001,0.00030889321406
26,0.00197511253034,0.0001,0.000405206602676
27,0.00198615997959,0.0001,0.000310888757875
28,0.00193191286755,0.0001,0.000292094211892
29,0.00206418462711,0.0001,0.00026875460589
30,0.00206086724537,0.0001,0.000318313226502
31,0.00194252945516,0.0001,0.000282620638535
32,0.00201920077062,0.0001,0.000216617164039
33,0.00199570437011,0.0001,0.000342629776182
